Claim_ID,Manuscript_section,Claim_summary,Authoritative_source,Source_locator,Claim_type,Interpretation_boundary,UHS_review
C01,Methods 2.1,"Raw N=32629; MEDNG N=32354; MEDDL N=32355; common N=32345",audit/cohort_flow.csv,"all rows",Numeric,"Separate outcome cohorts; common cohort only for composite sensitivity",Verify wording only
C02,Methods 2.3,"Twelve main constructs and chronic burden implementation",audit/final_feature_lock.csv,"Tier=Main",Definition,"CHRONIC_BURDEN_CAT is a predictive count category, not clinical severity",Confirm clinical wording
C03,Methods 2.4,"Deterministic split counts by outcome",modeling/day5_split_audit.csv,"all outcome-split rows",Numeric,"Test was locked and not used for selection",No numeric edit
C04,Methods 2.5,"Probability versions and locked thresholds",modeling/day20_22/day22_final_model_table.csv,"Outcome+Model rows",Numeric,"Thresholds are analytical operating points",Confirm use-case language
C05,Methods 2.6 and Results 3.1,"Weighted prevalence 7.3865% MEDNG and 8.5791% MEDDL with 95% CI",modeling/day11_13/day11_13_weighted_outcome_prevalence.csv,"Domain_variable=Overall",Numeric,"Population estimate; do not substitute unweighted test prevalence",No numeric edit
C06,Results 3.1,"Weighted AUROC 0.780-0.809 and AUPRC 0.315-0.339",modeling/day20_22/day22_final_model_table.csv,"all six rows; WTFA_A columns",Numeric,"No universal winner",Review emphasis
C07,Results 3.2,"Weighted FNR/FPR trade-offs for six outcome-model pairs",modeling/day20_22/day22_final_error_table.csv,"all six rows",Numeric,"Weighted counts are population mass, not sampled people",No numeric edit
C08,Results 3.3,"Weighted and unweighted SHAP rank correlation 0.979-1.000 and model-specific top constructs",modeling/day14_16/day14_16_shap_global_importance.csv,"Aggregation=WTFA_A and paired rank audit in Day14 rationale",Numeric and interpretive,"SHAP is predictive attribution, not causal effect",Check public-health interpretation
C09,Results 3.3 and Discussion 4.2,"Corrected CHRONIC_BURDEN_CAT category preserves 3+ separately from missing",modeling/day14_16/day14_16_shap_category_patterns.csv,"Feature_construct=CHRONIC_BURDEN_CAT",Correction,"Report-layer labels corrected; model/global/encoded importance unchanged",Confirm wording
C10,Results 3.4,"Insurance is dominant threshold-level signal; RF uninsured FPR 0.975 MEDNG and 1.000 MEDDL",modeling/day17_19/day17_19_subgroup_performance.csv,"Axis=Insurance; Group=Uninsured; Model=RF; WTFA_A",Numeric,"Not proof of discrimination, intent, harm, or good screening",Priority UHS interpretation
C11,Results 3.4,"Age recall spans and skipped groups",modeling/day17_19/day17_19_disparity_summary.csv,"Axis=Age; Metric=Recall; WTFA_A",Numeric,"Age 75+ excluded from comparative metrics due positive-event gate",Confirm non-overclaim
C12,Results 3.5,"Threshold F1 ranges, seed stability, and missingness strata",modeling/day20_22/day22_robustness_summary.csv,"all six rows",Numeric,"Sensitivity only; no post-test reselection",No numeric edit
C13,Results 3.5,"Composite cohort and weighted metrics",modeling/day20_22/day20_22_composite_sensitivity_performance.csv,"Evaluation_weighting=WTFA_A",Numeric,"Separate sensitivity; reused MEDNG hyperparameters",Review label
C14,Methods 2.10,"30 current SHA-256 freeze entries",modeling/day20_22/day22_code_freeze_manifest.csv,"30 data rows",Integrity,"Count reflects controlled report-layer correction after initial 29-entry freeze",No numeric edit
C15,Introduction and Discussion,"Literature framing and 19-source targeted narrative review",literature/literature_matrix_day6.csv,"IDs 1-19",Literature,"Not a PRISMA systematic review; verify target-journal citations",Full UHS review
C16,Limitations,"Cross-sectional, survey-aware sensitivity, subgroup power, SHAP, composite, and transportability limits",docs/Day20_22_Error_Robustness_Methodological_Rationale.md,"sections 3-5",Interpretive,"Do not generalize directly from US NHIS to Vietnam or Mekong Delta",Full UHS review
